From Date,PM2.5,PM10,NO2,SO2,CO,Ozone,SR,RH,WS,WD
2019-06-20 00:00,33.20415102,45.94,4.55,12.6,1.25,18.93,22.49,83.41,14.66,74.56
2019-06-20 00:15,38.33,45.4,4.12,14.75,1.24,19.48,22.5,83.38,18.38,68.3
2019-06-20 00:30,33.79,44.22,3.96,9.53,1.13,20.46,22.49,82.67,14.52,68.01
2019-06-20 00:45,30.86,43.78,3.72,9.79,1.12,22.26,22.5,81.08,14.74,68.23
2019-06-20 01:00,29.99,43.02,3.9,9.09,1.09,21.23,22.5,82.13,16.89,78.35
2019-06-20 01:15,28.09,41.87,4.45,8.54,1.08,21.52,22.48,83.38,16.84,60.72
2019-06-20 01:30,26.96,40.3,4.21,9.69,1.11,22.45,22.47,84.08,17.2,82.69
2019-06-20 01:45,26.6,38.74,4,9.65,1.13,23.67,22.47,83.34,16.89,69.66
2019-06-20 02:00,27.15,37.55,4.29,11.41,1.19,23.24,22.48,84.01,12.94,79.19
2019-06-20 02:15,28.77,36.65,4.78,12.68,1.25,25.83,22.48,83.32,20.71,77.56
2019-06-20 02:30,29.22,36.15,4.94,16.52,1.32,25.54,22.51,84.72,20.01,77.82
2019-06-20 02:45,30.73,35.68,4.06,20.15,1.17,25.89,22.5,84.35,16.86,76.79
2019-06-20 03:00,31.24,35.95,3.59,13.52,1.08,27.81,22.48,84.41,16.52,78.38
2019-06-20 03:15,31.29,36.11,3.59,10.68,1.04,26.97,22.48,84.28,17.64,56.5
2019-06-20 03:30,31.52,36.05,3.48,9.81,1.04,25.98,22.49,84.22,10.93,62.09
2019-06-20 03:45,31.39,36.08,3.59,9,1.03,26.56,22.48,84.15,15.33,55.31
2019-06-20 04:00,31.04,35.24,3.62,8.91,1.03,26.59,22.49,84.32,13.91,72.86
2019-06-20 04:15,29.82,33.78,3.54,9.78,1.03,27.56,22.51,84.57,14.15,67.74
2019-06-20 04:30,29.19,32.12,3.29,10.05,1.07,26.61,22.47,83.89,13.72,76.78
2019-06-20 04:45,29.19,31.43,4.99,11.22,1.28,25.25,22.48,84.75,14.27,69.86
2019-06-20 05:00,30.39,32.04,4.69,11.38,1.27,24.39,22.49,84.6,14.96,70.85
2019-06-20 05:15,33.1,33.8,4.57,9.7,1.23,23.58,22.48,84.55,13.54,71.49
2019-06-20 05:30,35.45,35.52,3.89,8.76,1.07,23.63,22.51,84.3,13.56,70.67
2019-06-20 05:45,35.16666667,35.2775,3.7,8.52,1.05,23.25,23.4,85.45,13.99,36.86
2019-06-20 06:00,34.88333333,35.035,4.35,8.59,1.1,22.36,29.63,84.55,14.04,64.42
2019-06-20 06:15,34.6,34.7925,4.26,8.97,1.16,23.53,46.85,84.7,16.08,96.55
2019-06-20 06:30,34.31666667,34.55,4.02,8.68,1.12,22.99,66.61,84.64,13.59,59.17
2019-06-20 06:45,34.03333333,34.3075,3.9,8.62,1.07,23.82,99.12,84.56,13.59,90.99
2019-06-20 07:00,33.75,34.065,3.89,8.36,1.06,23.96,200.76,83.48,15.25,66.22
2019-06-20 07:15,33.46666667,33.8225,4.5,8.89,1.07,22.28,253.91,80.54,13.71,59.13
2019-06-20 07:30,33.18333333,33.58,5.89,8.23,1.1,23.15,308.21,78.5,13.59,77.13
2019-06-20 07:45,32.9,33.3375,7.27,12.64,1.22,21.37,358.1,76.34,15.58,59.29
2019-06-20 08:00,32.61666667,33.095,9.54,9.53,1.15,19.47,402.26,72.93,15.97,64.21
2019-06-20 08:15,32.33333333,32.8525,12.97,9.44,1.1,17.89,446.03,70.4,17.81,72.17
2019-06-20 08:30,32.05,32.61,13.81,9.85,1.07,20.84,491.39,69.68,19.45,66.07
2019-06-20 08:45,29.8,32.74,12.97,9.95,1.02,24.3,537.57,68.53,17.39,68.38
2019-06-20 09:00,28.94,33.64,14.86,9.3,0.98,25.15,576.42,66.36,17.27,57.02
2019-06-20 09:15,28.14,35.15,23.53,11.03,1,12.96,615.45,62.65,23.16,87.54
2019-06-20 09:30,27.92,37.66,24.9,10.58,0.96,19.51,655.69,59.49,23.55,71.36
2019-06-20 09:45,28.04,40.85,20.37,10.61,0.92,25.91,688.75,58.26,19.27,98.24
2019-06-20 10:00,28.76,43.79,18.29,9.52,0.9,22.07,723.59,55.34,24.33,65.12
2019-06-20 10:15,28.61,44.66,17.45,9.57,0.87,29.47,749.65,53.04,22.93,72.19
2019-06-20 10:30,28.23,45.39,16.74,9.19,0.85,29.78,619.47,53.44,19.74,56.11
2019-06-20 10:45,27.53,45.06,13.98,9.39,0.85,28.94,794.19,52.13,18.59,49.15
2019-06-20 11:00,27.58,45.01,19.88,10.16,0.86,23.94,817.8,52.31,20.81,72.35
2019-06-20 11:15,27.48,44.84,19.98,10.34,0.87,26.06,789.17,54.91,21.7,86.68
2019-06-20 11:30,27.65,46.4,16.86,9.5,0.85,34.41,603.58,56.17,22.37,73.93
2019-06-20 11:45,30.12,48.48,14.64,9.73,0.85,36.38,854.14,56.84,22.76,91.55
2019-06-20 12:00,35.61,50.03,11.21,9.35,0.84,37.26,799.99,55.28,19.88,62.6
2019-06-20 12:15,35.29902655,49.63793814,11.54258427,9.613483146,0.868089888,37.15933333,795.5925843,54.85146067,19.83337079,62.77719101
2019-06-20 12:30,34.9880531,49.24587629,11.87516854,9.876966292,0.896179775,37.05866667,791.1951685,54.42292135,19.78674157,62.95438202
2019-06-20 12:45,34.67707965,48.85381443,12.20775281,10.14044944,0.924269663,36.958,786.7977528,53.99438202,19.74011236,63.13157303
2019-06-20 13:00,34.36610619,48.46175258,12.54033708,10.40393258,0.952359551,36.85733333,782.4003371,53.5658427,19.69348315,63.30876404
2019-06-20 13:15,34.05513274,48.06969072,12.87292135,10.66741573,0.980449438,36.75666667,778.0029213,53.13730337,19.64685393,63.48595506
2019-06-20 13:30,33.74415929,47.67762887,13.20550562,10.93089888,1.008539326,36.656,773.6055056,52.70876404,19.60022472,63.66314607
2019-06-20 13:45,33.43318584,47.28556701,13.53808989,11.19438202,1.036629213,36.55533333,769.2080899,52.28022472,19.55359551,63.84033708
2019-06-20 14:00,33.12221239,46.89350515,13.87067416,11.45786517,1.064719101,36.45466667,764.8106742,51.85168539,19.50696629,64.01752809
2019-06-20 14:15,32.81123894,46.5014433,14.20325843,11.72134831,1.092808989,36.354,760.4132584,51.42314607,19.46033708,64.1947191
2019-06-20 14:30,32.50026549,46.10938144,14.5358427,11.98483146,1.120898876,36.25333333,756.0158427,50.99460674,19.41370787,64.37191011
2019-06-20 14:45,32.18929204,45.71731959,14.86842697,12.24831461,1.148988764,36.15266667,751.618427,50.56606742,19.36707865,64.54910112
2019-06-20 15:00,31.87831858,45.32525773,15.20101124,12.51179775,1.177078652,36.052,747.2210112,50.13752809,19.32044944,64.72629213
2019-06-20 15:15,31.56734513,44.93319588,15.53359551,12.7752809,1.205168539,35.95133333,742.8235955,49.70898876,19.27382022,64.90348315
2019-06-20 15:30,31.25637168,44.54113402,15.86617978,13.03876404,1.233258427,35.85066667,738.4261798,49.28044944,19.22719101,65.08067416
2019-06-20 15:45,30.94539823,44.14907216,16.19876404,13.30224719,1.261348315,35.75,734.028764,48.85191011,19.1805618,65.25786517
2019-06-20 16:00,30.63442478,43.75701031,16.53134831,13.56573034,1.289438202,35.64933333,729.6313483,48.42337079,19.13393258,65.43505618
2019-06-20 16:15,30.32345133,43.36494845,16.86393258,13.82921348,1.31752809,35.54866667,725.2339326,47.99483146,19.08730337,65.61224719
2019-06-20 16:30,30.01247788,42.9728866,17.19651685,14.09269663,1.345617978,35.448,720.8365169,47.56629213,19.04067416,65.7894382
2019-06-20 16:45,29.70150442,42.58082474,17.52910112,14.35617978,1.373707865,35.34733333,716.4391011,47.13775281,18.99404494,65.96662921
2019-06-20 17:00,29.39053097,42.18876289,17.86168539,14.61966292,1.401797753,35.24666667,712.0416854,46.70921348,18.94741573,66.14382022
2019-06-20 17:15,29.07955752,41.79670103,18.19426966,14.88314607,1.42988764,35.146,707.6442697,46.28067416,18.90078652,66.32101124
2019-06-20 17:30,28.76858407,41.40463918,18.52685393,15.14662921,1.457977528,35.04533333,703.2468539,45.85213483,18.8541573,66.49820225
2019-06-20 17:45,28.45761062,41.01257732,18.8594382,15.41011236,1.486067416,34.94466667,698.8494382,45.42359551,18.80752809,66.67539326
2019-06-20 18:00,28.14663717,40.62051546,19.19202247,15.67359551,1.514157303,34.844,694.4520225,44.99505618,18.76089888,66.85258427
2019-06-20 18:15,27.83566372,40.22845361,19.52460674,15.93707865,1.542247191,34.74333333,690.0546067,44.56651685,18.71426966,67.02977528
2019-06-20 18:30,27.52469027,39.83639175,19.85719101,16.2005618,1.570337079,34.64266667,685.657191,44.13797753,18.66764045,67.20696629
2019-06-20 18:45,27.21371681,39.4443299,20.18977528,16.46404494,1.598426966,34.542,681.2597753,43.7094382,18.62101124,67.3841573
2019-06-20 19:00,26.90274336,39.05226804,20.52235955,16.72752809,1.626516854,34.44133333,676.8623596,43.28089888,18.57438202,67.56134831
2019-06-20 19:15,26.59176991,38.66020619,20.85494382,16.99101124,1.654606742,34.34066667,672.4649438,42.85235955,18.52775281,67.73853933
2019-06-20 19:30,26.28079646,38.26814433,21.18752809,17.25449438,1.682696629,34.24,668.0675281,42.42382022,18.4811236,67.91573034
2019-06-20 19:45,25.96982301,37.87608247,21.52011236,17.51797753,1.710786517,34.13933333,663.6701124,41.9952809,18.43449438,68.09292135
2019-06-20 20:00,25.65884956,37.48402062,21.85269663,17.78146067,1.738876404,34.03866667,659.2726966,41.56674157,18.38786517,68.27011236
2019-06-20 20:15,25.34787611,37.09195876,22.1852809,18.04494382,1.766966292,33.938,654.8752809,41.13820225,18.34123596,68.44730337
2019-06-20 20:30,25.03690265,36.69989691,22.51786517,18.30842697,1.79505618,33.83733333,650.4778652,40.70966292,18.29460674,68.62449438
2019-06-20 20:45,24.7259292,36.30783505,22.85044944,18.57191011,1.823146067,33.73666667,646.0804494,40.2811236,18.24797753,68.80168539
2019-06-20 21:00,24.41495575,35.9157732,23.18303371,18.83539326,1.851235955,33.636,641.6830337,39.85258427,18.20134831,68.9788764
2019-06-20 21:15,24.1039823,35.52371134,23.51561798,19.0988764,1.879325843,33.53533333,637.285618,39.42404494,18.1547191,69.15606742
2019-06-20 21:30,23.79300885,35.13164948,23.84820225,19.36235955,1.90741573,33.43466667,632.8882022,38.99550562,18.10808989,69.33325843
2019-06-20 21:45,23.4820354,34.73958763,24.18078652,19.6258427,1.935505618,33.334,628.4907865,38.56696629,18.06146067,69.51044944
